,country,region,age,time,gender,category
178,DEU,Europe,29,87.65,male,21km
179,FRA,Europe,65,87.65,male,21km
180,DEU,Europe,28,87.66666666666667,male,21km
181,CHE,Europe,48,87.75,male,21km
182,CHE,Europe,32,87.75,male,21km
183,CHE,Europe,49,87.85,male,21km
184,CHE,Europe,26,87.96666666666667,male,21km
185,ITA,Europe,31,88.01666666666667,male,21km
186,ETH,Africa,48,88.03333333333333,male,21km
187,CHE,Europe,23,88.03333333333333,male,21km
188,FRA,Europe,37,88.06666666666666,male,21km
189,CHE,Europe,28,88.06666666666666,male,21km
190,CHE,Europe,26,88.11666666666666,male,21km
191,CHE,Europe,36,88.13333333333334,male,21km
192,CHE,Europe,42,88.13333333333334,male,21km
193,CHE,Europe,52,88.15,male,21km
194,CHE,Europe,32,88.15,male,21km
195,FRA,Europe,37,88.16666666666667,male,21km
196,FRA,Europe,51,88.21666666666667,male,21km
197,CHE,Europe,27,88.25,male,21km
198,FRA,Europe,22,88.26666666666667,male,21km
199,BEL,Europe,56,88.3,male,21km
200,CHE,Europe,50,88.33333333333333,male,21km
201,CHE,Europe,21,88.35,male,21km
202,CZE,Europe,40,88.4,male,21km
203,CHE,Europe,34,88.41666666666667,male,21km
204,FRA,Europe,28,88.43333333333334,male,21km
205,CHE,Europe,31,88.43333333333334,male,21km
206,CHE,Europe,44,88.45,male,21km
207,SWE,Europe,35,88.48333333333333,female,21km
208,CHE,Europe,22,88.48333333333333,male,21km
209,CMR,Africa,30,88.5,male,21km
210,GBR,Europe,43,88.5,male,21km
211,FRA,Europe,36,88.5,male,21km
212,AUT,Europe,41,88.51666666666667,male,21km
213,CHE,Europe,34,88.55,male,21km
214,CHE,Europe,31,88.71666666666667,male,21km
215,CHE,Europe,35,88.75,male,21km
216,CHE,Europe,39,88.75,male,21km
217,PRT,Europe,39,88.78333333333333,male,21km
218,MEX,Americas,36,88.81666666666666,male,21km
219,CHE,Europe,36,88.88333333333334,male,21km
220,CHE,Europe,16,88.91666666666667,male,21km
221,USA,Americas,41,88.93333333333334,male,21km
222,FRA,Europe,41,88.95,male,21km
223,CHE,Europe,23,88.96666666666667,male,21km
224,FRA,Europe,47,88.98333333333333,male,21km
225,UGA,Africa,31,89.0,male,21km
226,CHE,Europe,40,89.0,male,21km
227,HUN,Europe,34,89.0,male,21km
228,HRV,Europe,42,89.01666666666667,male,21km
229,CHE,Europe,38,89.01666666666667,male,21km
230,FRA,Europe,21,89.03333333333333,male,21km
231,CHE,Europe,19,89.03333333333333,male,21km
