,country,region,age,time,gender,category
186,FRA,Europe,46,200.89999999999998,male,42km
187,FRA,Europe,38,201.15,male,42km
188,FRA,Europe,40,201.41666666666666,male,42km
189,POL,Europe,35,201.46666666666664,male,42km
190,CHE,Europe,36,201.55,male,42km
191,CHE,Europe,36,201.58333333333331,male,42km
192,FRA,Europe,38,201.83333333333334,male,42km
193,DEU,Europe,39,202.18333333333334,male,42km
194,FRA,Europe,36,202.21666666666667,male,42km
195,KAZ,Asia,39,202.35,male,42km
196,ESP,Europe,28,202.5,male,42km
197,FRA,Europe,56,202.51666666666665,male,42km
198,CHE,Europe,58,202.51666666666665,male,42km
199,POL,Europe,35,202.58333333333334,male,42km
200,CHE,Europe,45,202.63333333333333,male,42km
201,FRA,Europe,27,202.7,male,42km
202,CHE,Europe,35,202.78333333333333,male,42km
203,CHE,Europe,52,202.78333333333336,male,42km
204,ITA,Europe,36,202.8,male,42km
205,FIN,Europe,41,202.8,female,42km
206,ITA,Europe,39,202.8,male,42km
207,CHE,Europe,32,203.08333333333331,male,42km
208,FRA,Europe,38,203.23333333333335,male,42km
209,FRA,Europe,51,203.3,male,42km
210,CHE,Europe,53,203.35,male,42km
211,ITA,Europe,44,203.35,male,42km
212,CHE,Europe,49,203.36666666666667,male,42km
213,FRA,Europe,42,203.5,female,42km
214,CHE,Europe,45,203.51666666666665,male,42km
215,FRA,Europe,53,203.6,male,42km
216,CHE,Europe,49,203.63333333333333,male,42km
217,CHE,Europe,37,203.71666666666667,male,42km
218,CHE,Europe,35,203.73333333333335,male,42km
219,FRA,Europe,37,203.76666666666665,male,42km
220,FRA,Europe,33,203.89999999999998,male,42km
221,CHE,Europe,58,204.03333333333333,male,42km
222,CHE,Europe,44,204.11666666666667,male,42km
223,ROU,Europe,36,204.18333333333334,male,42km
224,CHE,Europe,38,204.45,male,42km
225,FRA,Europe,56,204.51666666666665,male,42km
226,ITA,Europe,43,204.55,male,42km
227,LUX,Europe,38,204.58333333333334,male,42km
228,CHE,Europe,49,204.8,male,42km
229,FRA,Europe,43,204.8,male,42km
230,FRA,Europe,53,204.83333333333331,male,42km
231,CHE,Europe,45,204.91666666666669,male,42km
232,FRA,Europe,45,205.03333333333333,male,42km
233,ITA,Europe,35,205.05,male,42km
234,ITA,Europe,46,205.05,male,42km
235,POL,Europe,30,205.06666666666666,male,42km
236,NLD,Europe,46,205.08333333333334,male,42km
237,CHE,Europe,43,205.1,male,42km
238,CHE,Europe,40,205.18333333333334,female,42km
239,GRC,Europe,46,205.3,male,42km
240,FRA,Europe,38,205.38333333333333,male,42km
241,RUS,Europe,42,205.61666666666667,male,42km
242,GTM,Americas,27,205.71666666666667,female,42km
243,CHE,Europe,50,205.71666666666667,male,42km
244,MDG,Africa,42,205.78333333333333,male,42km
245,CHE,Europe,50,205.88333333333333,male,42km
246,FRA,Europe,27,205.88333333333333,male,42km
247,CHE,Europe,38,205.93333333333334,male,42km
248,CHE,Europe,21,205.98333333333335,male,42km
249,CHE,Europe,29,206.06666666666666,male,42km
250,GBR,Europe,33,206.1,male,42km
251,CHE,Europe,50,206.15,male,42km
252,CHE,Europe,25,206.33333333333334,male,42km
